,X,Y,Z,formation
0,16.233766233766232,0,751.0822510822511,fault1
1,63.61231361231361,0,669.3121693121693,fault1
2,110.990860990861,0,587.5420875420875,fault1
3,158.36940836940838,0,505.77200577200585,fault1
4,205.74795574795576,0,424.00192400192407,fault1
5,253.12650312650314,0,342.2318422318423,fault1
6,300.5050505050505,0,260.46176046176055,fault1
7,347.8835978835979,0,178.69167869167882,fault1
8,395.2621452621453,0,96.92159692159703,fault1
9,442.64069264069263,0,15.151515151515184,fault1
10,16.233766233766232,500,751.0822510822511,fault1
11,63.61231361231361,500,669.3121693121693,fault1
12,110.990860990861,500,587.5420875420875,fault1
13,158.36940836940838,500,505.77200577200585,fault1
14,205.74795574795576,500,424.00192400192407,fault1
15,253.12650312650314,500,342.2318422318423,fault1
16,300.5050505050505,500,260.46176046176055,fault1
17,347.8835978835979,500,178.69167869167882,fault1
18,395.2621452621453,500,96.92159692159703,fault1
19,442.64069264069263,500,15.151515151515184,fault1
20,16.233766233766232,1000,751.0822510822511,fault1
21,63.61231361231361,1000,669.3121693121693,fault1
22,110.990860990861,1000,587.5420875420875,fault1
23,158.36940836940838,1000,505.77200577200585,fault1
24,205.74795574795576,1000,424.00192400192407,fault1
25,253.12650312650314,1000,342.2318422318423,fault1
26,300.5050505050505,1000,260.46176046176055,fault1
27,347.8835978835979,1000,178.69167869167882,fault1
28,395.2621452621453,1000,96.92159692159703,fault1
29,442.64069264069263,1000,15.151515151515184,fault1
30,3.246753246753258,0,123.3766233766234,rock1
31,16.233766233766232,0,145.02164502164504,rock1
32,29.220779220779235,0,170.995670995671,rock1
33,46.536796536796544,0,199.13419913419915,rock1
34,83.33333333333334,0,216.4502164502165,rock1
35,115.80086580086578,0,220.7792207792208,rock1
36,178.57142857142856,0,220.7792207792208,rock1
37,211.03896103896102,0,199.13419913419915,rock1
38,234.84848484848487,0,155.84415584415586,rock1
39,267.31601731601734,0,129.87012987012992,rock1
40,284.6320346320346,0,127.7056277056277,rock1
41,317.0995670995671,0,132.03463203463207,rock1
42,332.25108225108227,0,138.52813852813853,rock1
43,343.0735930735931,0,153.6796536796537,rock1
44,347.40259740259745,0,160.17316017316017,rock1
45,3.246753246753258,500,123.3766233766234,rock1
46,16.233766233766232,500,145.02164502164504,rock1
47,29.220779220779235,500,170.995670995671,rock1
48,46.536796536796544,500,199.13419913419915,rock1
49,83.33333333333334,500,216.4502164502165,rock1
50,115.80086580086578,500,220.7792207792208,rock1
51,178.57142857142856,500,220.7792207792208,rock1
52,211.03896103896102,500,199.13419913419915,rock1
53,234.84848484848487,500,155.84415584415586,rock1
54,267.31601731601734,500,129.87012987012992,rock1
55,284.6320346320346,500,127.7056277056277,rock1
56,317.0995670995671,500,132.03463203463207,rock1
57,332.25108225108227,500,138.52813852813853,rock1
58,343.0735930735931,500,153.6796536796537,rock1
59,347.40259740259745,500,160.17316017316017,rock1
60,3.246753246753258,1000,123.3766233766234,rock1
61,16.233766233766232,1000,145.02164502164504,rock1
62,29.220779220779235,1000,170.995670995671,rock1
63,46.536796536796544,1000,199.13419913419915,rock1
64,83.33333333333334,1000,216.4502164502165,rock1
65,115.80086580086578,1000,220.7792207792208,rock1
66,178.57142857142856,1000,220.7792207792208,rock1
67,211.03896103896102,1000,199.13419913419915,rock1
68,234.84848484848487,1000,155.84415584415586,rock1
69,267.31601731601734,1000,129.87012987012992,rock1
70,284.6320346320346,1000,127.7056277056277,rock1
71,317.0995670995671,1000,132.03463203463207,rock1
72,332.25108225108227,1000,138.52813852813853,rock1
73,343.0735930735931,1000,153.6796536796537,rock1
74,347.40259740259745,1000,160.17316017316017,rock1
75,408.00865800865796,0,84.41558441558445,rock1
76,429.6536796536796,0,88.74458874458875,rock1
77,455.62770562770567,0,114.71861471861473,rock1
78,501.08225108225105,0,158.00865800865802,rock1
79,553.030303030303,0,218.61471861471864,rock1
80,591.9913419913421,0,244.5887445887446,rock1
81,635.2813852813854,0,244.5887445887446,rock1
82,667.7489177489178,0,231.60173160173161,rock1
83,708.8744588744589,0,179.65367965367966,rock1
84,756.4935064935064,0,155.84415584415586,rock1
85,821.4285714285713,0,155.84415584415586,rock1
86,905.8441558441557,0,188.31168831168833,rock1
87,949.134199134199,0,218.61471861471864,rock1
88,979.4372294372295,0,242.42424242424244,rock1
89,992.4242424242423,0,259.7402597402598,rock1
90,408.00865800865796,500,84.41558441558445,rock1
91,429.6536796536796,500,88.74458874458875,rock1
92,455.62770562770567,500,114.71861471861473,rock1
93,501.08225108225105,500,158.00865800865802,rock1
94,553.030303030303,500,218.61471861471864,rock1
95,591.9913419913421,500,244.5887445887446,rock1
96,635.2813852813854,500,244.5887445887446,rock1
97,667.7489177489178,500,231.60173160173161,rock1
98,708.8744588744589,500,179.65367965367966,rock1
99,756.4935064935064,500,155.84415584415586,rock1
100,821.4285714285713,500,155.84415584415586,rock1
101,905.8441558441557,500,188.31168831168833,rock1
102,949.134199134199,500,218.61471861471864,rock1
103,979.4372294372295,500,242.42424242424244,rock1
104,992.4242424242423,500,259.7402597402598,rock1
105,408.00865800865796,1000,84.41558441558445,rock1
106,429.6536796536796,1000,88.74458874458875,rock1
107,455.62770562770567,1000,114.71861471861473,rock1
108,501.08225108225105,1000,158.00865800865802,rock1
109,553.030303030303,1000,218.61471861471864,rock1
110,591.9913419913421,1000,244.5887445887446,rock1
111,635.2813852813854,1000,244.5887445887446,rock1
112,667.7489177489178,1000,231.60173160173161,rock1
113,708.8744588744589,1000,179.65367965367966,rock1
114,756.4935064935064,1000,155.84415584415586,rock1
115,821.4285714285713,1000,155.84415584415586,rock1
116,905.8441558441557,1000,188.31168831168833,rock1
117,949.134199134199,1000,218.61471861471864,rock1
118,979.4372294372295,1000,242.42424242424244,rock1
119,992.4242424242423,1000,259.7402597402598,rock1
120,7.575757575757564,0,497.83549783549785,rock2
121,7.575757575757564,0,502.16450216450215,rock2
122,11.904761904761898,0,517.3160173160172,rock2
123,16.233766233766232,0,528.138528138528,rock2
124,24.8917748917749,0,534.6320346320347,rock2
125,31.385281385281388,0,536.7965367965369,rock2
126,44.37229437229436,0,538.9610389610389,rock2
127,55.194805194805184,0,538.9610389610389,rock2
128,81.16883116883116,0,538.9610389610389,rock2
129,87.66233766233768,0,538.9610389610389,rock2
130,91.99134199134198,0,538.9610389610389,rock2
131,109.30735930735932,0,538.9610389610389,rock2
132,124.45887445887445,0,532.4675324675325,rock2
133,128.7878787878788,0,525.9740259740261,rock2
134,130.95238095238096,0,521.6450216450216,rock2
135,7.575757575757564,500,497.83549783549785,rock2
136,7.575757575757564,500,502.16450216450215,rock2
137,11.904761904761898,500,517.3160173160172,rock2
138,16.233766233766232,500,528.138528138528,rock2
139,24.8917748917749,500,534.6320346320347,rock2
140,31.385281385281388,500,536.7965367965369,rock2
141,44.37229437229436,500,538.9610389610389,rock2
142,55.194805194805184,500,538.9610389610389,rock2
143,81.16883116883116,500,538.9610389610389,rock2
144,87.66233766233768,500,538.9610389610389,rock2
145,91.99134199134198,500,538.9610389610389,rock2
146,109.30735930735932,500,538.9610389610389,rock2
147,124.45887445887445,500,532.4675324675325,rock2
148,128.7878787878788,500,525.9740259740261,rock2
149,130.95238095238096,500,521.6450216450216,rock2
150,7.575757575757564,1000,497.83549783549785,rock2
151,7.575757575757564,1000,502.16450216450215,rock2
152,11.904761904761898,1000,517.3160173160172,rock2
153,16.233766233766232,1000,528.138528138528,rock2
154,24.8917748917749,1000,534.6320346320347,rock2
155,31.385281385281388,1000,536.7965367965369,rock2
156,44.37229437229436,1000,538.9610389610389,rock2
157,55.194805194805184,1000,538.9610389610389,rock2
158,81.16883116883116,1000,538.9610389610389,rock2
159,87.66233766233768,1000,538.9610389610389,rock2
160,91.99134199134198,1000,538.9610389610389,rock2
161,109.30735930735932,1000,538.9610389610389,rock2
162,124.45887445887445,1000,532.4675324675325,rock2
163,128.7878787878788,1000,525.9740259740261,rock2
164,130.95238095238096,1000,521.6450216450216,rock2
165,182.90043290043292,0,476.1904761904762,rock2
166,195.8874458874459,0,471.8614718614719,rock2
167,247.83549783549785,0,454.54545454545456,rock2
168,345.23809523809524,0,450.21645021645026,rock2
169,429.6536796536796,0,474.025974025974,rock2
170,501.08225108225105,0,543.2900432900433,rock2
171,537.878787878788,0,599.5670995670996,rock2
172,620.1298701298701,0,668.831168831169,rock2
173,682.9004329004329,0,677.4891774891776,rock2
174,750.0,0,668.831168831169,rock2
175,849.5670995670996,0,625.5411255411257,rock2
176,903.6796536796537,0,597.4025974025974,rock2
177,951.2987012987012,0,590.909090909091,rock2
178,975.108225108225,0,590.909090909091,rock2
179,990.2597402597403,0,595.2380952380952,rock2
180,182.90043290043292,500,476.1904761904762,rock2
181,195.8874458874459,500,471.8614718614719,rock2
182,247.83549783549785,500,454.54545454545456,rock2
183,345.23809523809524,500,450.21645021645026,rock2
184,429.6536796536796,500,474.025974025974,rock2
185,501.08225108225105,500,543.2900432900433,rock2
186,537.878787878788,500,599.5670995670996,rock2
187,620.1298701298701,500,668.831168831169,rock2
188,682.9004329004329,500,677.4891774891776,rock2
189,750.0,500,668.831168831169,rock2
190,849.5670995670996,500,625.5411255411257,rock2
191,903.6796536796537,500,597.4025974025974,rock2
192,951.2987012987012,500,590.909090909091,rock2
193,975.108225108225,500,590.909090909091,rock2
194,990.2597402597403,500,595.2380952380952,rock2
195,182.90043290043292,1000,476.1904761904762,rock2
196,195.8874458874459,1000,471.8614718614719,rock2
197,247.83549783549785,1000,454.54545454545456,rock2
198,345.23809523809524,1000,450.21645021645026,rock2
199,429.6536796536796,1000,474.025974025974,rock2
200,501.08225108225105,1000,543.2900432900433,rock2
201,537.878787878788,1000,599.5670995670996,rock2
202,620.1298701298701,1000,668.831168831169,rock2
203,682.9004329004329,1000,677.4891774891776,rock2
204,750.0,1000,668.831168831169,rock2
205,849.5670995670996,1000,625.5411255411257,rock2
206,903.6796536796537,1000,597.4025974025974,rock2
207,951.2987012987012,1000,590.909090909091,rock2
208,975.108225108225,1000,590.909090909091,rock2
209,990.2597402597403,1000,595.2380952380952,rock2
